timestamp,open,high,low,close,volume,Stock Code,{
2006-10-31,6.14,6.18,6.08,6.12,4850900.0,MIN,
2006-09-29,6.15,6.2,6.12,6.14,3457900.0,MIN,
2006-08-31,6.07,6.2,6.06,6.17,4088600.0,MIN,
2006-07-31,6.06,6.11,5.99,6.07,4721700.0,MIN,
2006-06-30,6.09,6.17,5.98,6.09,4200100.0,MIN,
2006-05-31,6.06,6.19,5.97,6.11,6070500.0,MIN,
2006-04-28,6.16,6.19,6.01,6.07,4322100.0,MIN,
2006-03-31,6.24,6.26,6.15,6.16,3981300.0,MIN,
2006-02-28,6.23,6.28,6.19,6.24,3331400.0,MIN,
2006-01-31,6.21,6.32,6.2,6.24,5153800.0,MIN,
2005-12-30,6.16,6.25,6.13,6.23,7024500.0,MIN,
2005-11-30,6.24,6.3,6.11,6.18,4484900.0,MIN,
2005-10-31,6.48,6.49,6.16,6.29,3394000.0,MIN,
2005-09-30,6.53,6.54,6.41,6.48,3228100.0,MIN,
